Date,Open,High,Low,Close,Volume
1923-12-31,9.55,10.08,8.44,9.11,0
1924-12-31,9.11,11.3,8.76,11.3,0
1925-12-31,11.38,13.92,10.74,13.92,0
1926-12-31,14.03,14.93,12.27,14.36,0
1927-12-31,14.21,17.79,14.08,17.7,0
1928-12-31,17.76,24.75,16.95,24.35,0
1929-12-31,24.27,32.24,17.37,21.45,0
1930-12-31,21.55,26.26,14.1,15.34,0
1931-12-31,15.36,18.53,7.51,8.12,0
1932-12-31,8.17,9.42,4.27,6.89,0
1933-12-31,6.9,12.4,5.41,10.1,0
1934-12-31,10.06,11.94,8.27,9.5,0
1935-12-31,9.46,13.53,8.04,13.43,0
1936-12-31,13.4,17.8,13.27,17.18,0
1937-12-31,17.15,18.8,10.09,10.55,0
1938-12-31,10.55,13.82,8.37,13.21,0
1939-12-31,13.18,13.34,10.1,12.49,0
1940-12-31,12.55,12.81,8.86,10.58,0
1941-12-31,10.52,10.92,8.28,8.69,0
1942-12-31,8.75,9.84,7.45,9.77,0
1943-12-31,9.81,12.7,9.81,11.67,0
1944-12-31,11.66,13.33,11.55,13.28,0
1945-12-31,13.3,17.77,13.17,17.36,0
1946-12-31,17.34,19.33,14,15.3,0
1947-12-31,15.27,16.23,13.58,15.3,0
1948-12-31,15.36,17.12,13.74,15.2,0
1949-12-31,15.12,16.82,13.5,16.76,0
1950-12-31,16.66,20.43,16.65,20.41,313816666
1951-12-31,20.77,23.85,20.69,23.77,271699998
1952-12-31,23.8,26.59,23.09,26.57,197033338
1953-12-31,26.54,26.66,22.71,24.81,197055560
1954-12-31,24.95,35.98,24.8,35.98,317766665
1955-12-31,36.75,46.41,34.58,45.48,360249998
1956-12-31,45.16,49.64,43.11,46.67,308794441
1957-12-31,46.2,49.13,38.98,39.99,310399992
1958-12-31,40.33,55.21,40.33,55.21,414811103
1959-12-31,55.44,60.71,53.58,59.89,455583335
1960-12-31,59.91,60.39,52.2,58.11,425800003
1961-12-31,57.57,72.64,57.57,71.55,565477781
1962-12-31,71.55,71.96,51.35,63.1,536011113
1963-12-31,63.1,75.36,62.32,75.02,637433332
1964-12-31,75.02,86.8,74.82,84.75,686733327
1965-12-31,84.75,93.3,80.73,92.43,864088896
1966-12-31,92.43,94.72,72.28,80.33,1054050004
1967-12-31,80.33,98.31,79.43,96.47,1404899996
1968-12-31,96.47,109.37,86.73,103.86,1628166669
1969-12-31,103.86,106.74,88.04,92.06,1581655557
1970-12-31,92.06,94.25,68.61,92.15,1637072224
1971-12-31,92.15,105.6,89.34,102.09,2163744451
1972-12-31,102.09,119.79,100.87,118.05,2298538893
1973-12-31,118.06,121.74,91.05,97.55,2254322225
1974-12-31,97.55,101.05,60.96,68.56,1954222222
1975-12-31,68.65,96.58,68.65,90.19,2609572223
1976-12-31,90.19,108.72,89.81,107.46,2977283336
1977-12-31,107.46,107.97,90.01,95.1,2932055557
1978-12-31,95.1,108.05,86.45,96.11,4000044447
1979-12-31,96.11,112.16,95.22,107.94,4534922225
1980-12-31,107.94,141.96,94.23,135.76,6305905548
1981-12-31,135.76,140.32,110.19,122.55,6586022233
1982-12-31,122.55,144.36,102.2,140.64,9142433327
1983-12-31,140.65,172.65,138.08,164.93,11990738886
1984-12-31,164.93,170.41,147.26,167.24,12822016666
1985-12-31,167.2,213.08,163.36,211.28,15283366653
1986-12-31,211.28,254.87,202.6,242.17,19821938889
1987-12-31,242.17,337.89,216.46,247.08,26554700004
1988-12-31,247.1,283.95,240.17,277.72,22693344450
1989-12-31,277.72,360.44,273.81,353.4,23164216671
1990-12-31,353.4,369.78,294.51,330.22,22045961111
1991-12-31,330.2,418.32,309.35,417.09,25188138887
1992-12-31,417.03,442.65,392.41,435.71,28508111103
1993-12-31,435.7,471.29,426.88,466.45,37206772223
1994-12-31,466.51,482.85,435.86,459.27,40804633339
1995-12-31,459.21,622.88,457.2,615.93,48468527778
1996-12-31,615.93,762.12,597.29,740.74,58055950001
1997-12-31,740.74,986.25,729.55,970.43,73882766667
1998-12-31,970.43,1244.93,912.83,1229.23,94116638896
1999-12-31,1229.23,1473.13,1205.46,1469.25,113167877784
2000-12-31,1469.25,1552.87,1254.07,1320.28,144828477786
2001-12-31,1320.28,1383.37,944.75,1148.08,169751544447
2002-12-31,1148.08,1176.97,768.63,879.82,200063694444
2003-12-31,879.82,1112.56,788.9,1111.92,193823138889
2004-12-31,1111.92,1217.33,1060.72,1211.92,199248527771
2005-12-31,1211.92,1275.8,1136.15,1248.29,268786511106
2006-12-31,1248.29,1431.81,1219.29,1418.3,333901533333
2007-12-31,1418.03,1576.09,1363.98,1468.36,450048249995
2008-12-31,1467.97,1471.77,741.02,903.25,707447444439
2009-12-31,902.99,1130.38,666.79,1115.1,780249055553
2010-12-31,1116.56,1262.6,1010.91,1257.64,639711994438
2011-12-31,1257.62,1370.58,1074.77,1257.6,575267816672
2012-12-31,1258.86,1474.51,1258.86,1426.19,504399599997
2013-12-31,1426.19,1849.44,1426.19,1848.36,470255327777
2014-12-31,1845.86,2093.55,1737.92,2058.9,469669572224
2015-12-31,2058.9,2134.72,1867.01,2043.94,511788111113
2016-12-31,2038.2,2277.53,1810.1,2238.83,546732483336
2017-12-31,2251.57,2694.97,2245.13,2673.61,475826738893
2018-12-31,2683.73,2940.91,2346.58,2506.85,503732216669
2019-12-31,2476.96,3247.93,2443.96,3230.78,495704111121
2020-12-31,3244.67,3760.2,2191.86,3756.07,691944886249
2021-12-31,3764.61,4808.93,3662.71,4766.18,558593424213
2022-12-31,4778.14,4818.62,3491.58,3839.5,627379804535.35
2023-12-31,3853.29,4793.3,3794.33,4769.83,598372973302
2024-12-31,4745.2,6099.97,4682.11,5881.63,628418076543
2025-12-31,5903.26,6945.77,4835.04,6845.5,784535464786
2026-12-31,6878.11,7002.28,6710.42,6740.02,153649578794
