label,type,score,spacing,offset,center_shift,bw_scale,skirt_scale,f_pass,f_stop,f1,f2,f3,f4
LP-1: Trend (>5 yr),lp,0.9635486536611149,6,6,-0.6,1.05,1.0,0.24000000000000005,0.6600000000000001,,,,
BP-2: ~3.8 yr,bp,0.9346913659211457,9,1,-0.3,1.25,0.75,,,0.5499999999999999,0.85,1.8499999999999996,2.15
BP-3: ~1.3 yr,bp,0.9885457900387246,4,1,-0.3,0.75,0.75,,,3.3375,3.5999999999999996,5.699999999999999,5.9624999999999995
BP-4: ~0.7 yr,bp,0.9657650485405906,5,5,-0.6,0.75,0.75,,,6.975000000000001,7.200000000000001,8.700000000000001,8.925
BP-5: ~0.4 yr,bp,0.9879320801965775,5,5,0.0,1.15,0.8,,,13.305,13.544999999999998,19.755,19.994999999999997
BP-6: ~0.2 yr,bp,0.996391960422167,4,2,-0.6,0.85,1.05,,,28.374999999999996,28.689999999999998,34.81,35.125
